date,>0.30 ?m,>0.40 ?m,>0.50 ?m,>0.65 ?m,>0.80 ?m,>1.0 ?m,>1.6 ?m,>2.0 ?m,>3.0 ?m,>4.0 ?m,>5.0 ?m,>7.5 ?m,>10.0 ?m,>15.0 ?m,>20.0 ?m
04/04/2019 17.54.00,2050,450,160,55,35,25,25,9,3,3,2,2,0,0,0
04/04/2019 17.55.00,2115,495,155,55,30,25,20,4,1,0,0,0,0,0,0
04/04/2019 17.56.00,1990,490,115,40,25,20,5,3,1,1,1,0,0,0,0
04/04/2019 17.57.00,1990,465,115,20,10,5,5,1,1,1,1,0,0,0,0
04/04/2019 17.58.00,1915,400,110,40,25,20,15,8,1,0,0,0,0,0,0
04/04/2019 17.59.00,1860,390,135,50,30,15,5,1,1,1,1,1,0,0,0
04/04/2019 18.00.00,1845,410,115,60,40,40,35,19,5,2,2,1,1,1,1
04/04/2019 18.01.00,1920,450,80,45,25,20,15,6,1,0,0,0,0,0,0
04/04/2019 18.02.00,1735,410,140,70,40,25,15,9,1,0,0,0,0,0,0
04/04/2019 18.03.00,1720,415,95,35,25,25,20,8,2,1,0,0,0,0,0
04/04/2019 18.04.00,1765,470,130,35,30,25,10,7,1,0,0,0,0,0,0
04/04/2019 18.05.00,1700,370,100,20,20,15,5,4,1,1,1,0,0,0,0
04/04/2019 18.06.00,1620,310,80,20,10,5,5,0,0,0,0,0,0,0,0
04/04/2019 18.07.00,1645,365,105,20,10,10,10,6,1,0,0,0,0,0,0
04/04/2019 18.08.00,1630,365,105,25,5,5,0,0,0,0,0,0,0,0,0
04/04/2019 18.09.00,1680,420,90,20,20,10,5,4,1,0,0,0,0,0,0
04/04/2019 18.10.00,1820,340,120,55,30,25,20,5,0,0,0,0,0,0,0
04/04/2019 18.11.00,1735,350,95,20,20,10,0,0,0,0,0,0,0,0,0
04/04/2019 18.12.00,1605,350,100,10,10,5,0,0,0,0,0,0,0,0,0
04/04/2019 18.13.00,1565,290,55,25,10,10,10,0,0,0,0,0,0,0,0
04/04/2019 18.14.00,1555,360,90,30,20,20,20,10,2,1,1,1,0,0,0
04/04/2019 18.15.00,1620,345,120,30,20,15,10,5,0,0,0,0,0,0,0
04/04/2019 18.16.00,1405,340,80,25,10,0,0,0,0,0,0,0,0,0,0
04/04/2019 18.17.00,1375,250,45,15,10,0,0,0,0,0,0,0,0,0,0
04/04/2019 18.18.00,1790,335,100,20,10,10,0,0,0,0,0,0,0,0,0
04/04/2019 18.19.00,1505,280,85,30,10,10,5,3,0,0,0,0,0,0,0
04/04/2019 18.20.00,1640,295,100,15,10,5,5,0,0,0,0,0,0,0,0
04/04/2019 18.21.00,1115,255,65,10,10,10,10,3,0,0,0,0,0,0,0
04/04/2019 18.22.00,1395,295,60,5,5,0,0,0,0,0,0,0,0,0,0
04/04/2019 18.23.00,1195,205,65,20,20,20,10,6,0,0,0,0,0,0,0
04/04/2019 18.24.00,1285,275,85,30,15,0,0,0,0,0,0,0,0,0,0
04/04/2019 18.25.00,1305,250,40,15,5,5,0,0,0,0,0,0,0,0,0
04/04/2019 18.26.00,1325,280,45,20,15,5,5,3,0,0,0,0,0,0,0
04/04/2019 18.27.00,1255,215,75,30,15,5,0,0,0,0,0,0,0,0,0
04/04/2019 18.28.00,1290,250,70,10,5,5,0,0,0,0,0,0,0,0,0
04/04/2019 18.29.00,1365,260,40,10,10,5,5,3,0,0,0,0,0,0,0
04/04/2019 18.30.00,1145,280,45,10,5,5,5,3,0,0,0,0,0,0,0
04/04/2019 18.31.00,1250,255,70,20,10,10,10,1,1,0,0,0,0,0,0
04/04/2019 18.32.00,1395,275,70,5,5,5,0,0,0,0,0,0,0,0,0
04/04/2019 18.33.00,1140,210,45,15,15,15,10,6,0,0,0,0,0,0,0
04/04/2019 18.34.00,1215,200,50,15,5,5,0,0,0,0,0,0,0,0,0
04/04/2019 18.35.00,1210,250,70,20,15,10,10,5,0,0,0,0,0,0,0
04/04/2019 18.36.00,1235,255,60,15,5,5,0,0,0,0,0,0,0,0,0
04/04/2019 18.37.00,1130,180,45,10,5,0,0,0,0,0,0,0,0,0,0
04/04/2019 18.38.00,1350,235,50,30,15,10,10,3,0,0,0,0,0,0,0
04/04/2019 18.39.00,1085,240,75,20,15,15,5,3,1,0,0,0,0,0,0
04/04/2019 18.40.00,935,145,70,20,15,10,5,3,0,0,0,0,0,0,0
04/04/2019 18.41.00,1170,230,60,5,5,5,0,0,0,0,0,0,0,0,0
04/04/2019 18.42.00,1095,250,85,30,15,5,0,0,0,0,0,0,0,0,0
04/04/2019 18.43.00,1235,250,65,30,25,20,10,3,0,0,0,0,0,0,0
04/04/2019 18.44.00,950,190,20,5,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 18.45.00,1075,170,50,10,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 18.46.00,1015,175,40,5,5,5,0,0,0,0,0,0,0,0,0
04/04/2019 18.47.00,930,140,35,5,5,5,0,0,0,0,0,0,0,0,0
04/04/2019 18.48.00,1030,195,50,20,15,15,10,3,0,0,0,0,0,0,0
04/04/2019 18.49.00,1105,185,40,10,10,5,5,0,0,0,0,0,0,0,0
04/04/2019 18.50.00,970,175,55,20,10,10,5,3,0,0,0,0,0,0,0
04/04/2019 18.51.00,915,160,40,5,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 18.52.00,1070,165,40,15,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 18.53.00,935,135,30,5,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 18.54.00,990,170,35,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 18.55.00,980,160,25,5,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 18.56.00,930,190,60,15,5,5,5,3,0,0,0,0,0,0,0
04/04/2019 18.57.00,1120,145,40,10,5,5,0,0,0,0,0,0,0,0,0
04/04/2019 18.58.00,925,140,25,10,10,10,10,6,1,0,0,0,0,0,0
04/04/2019 18.59.00,995,195,65,15,5,5,0,0,0,0,0,0,0,0,0
04/04/2019 19.00.00,965,150,30,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 19.01.00,960,175,45,25,15,15,5,0,0,0,0,0,0,0,0
04/04/2019 19.02.00,870,160,55,15,10,10,5,3,0,0,0,0,0,0,0
04/04/2019 19.03.00,855,155,45,25,15,10,5,3,0,0,0,0,0,0,0
04/04/2019 19.04.00,950,155,20,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 19.05.00,880,155,35,5,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 19.06.00,755,135,15,10,5,5,5,0,0,0,0,0,0,0,0
04/04/2019 19.07.00,745,150,40,5,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 19.08.00,840,150,45,15,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 19.09.00,920,130,30,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 19.10.00,840,145,30,10,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 19.11.00,930,175,50,15,10,10,10,3,0,0,0,0,0,0,0
04/04/2019 19.12.00,845,140,40,10,10,10,5,3,0,0,0,0,0,0,0
04/04/2019 19.13.00,760,130,20,15,15,5,0,0,0,0,0,0,0,0,0
04/04/2019 19.14.00,860,180,50,15,15,15,10,3,0,0,0,0,0,0,0
04/04/2019 19.15.00,870,135,25,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 19.16.00,935,185,45,10,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 19.17.00,930,145,10,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 19.18.00,975,165,50,10,10,10,5,3,0,0,0,0,0,0,0
04/04/2019 19.19.00,815,125,40,20,5,0,0,0,0,0,0,0,0,0,0
04/04/2019 19.20.00,815,105,20,5,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 19.21.00,835,130,30,5,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 19.22.00,835,160,35,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 19.23.00,865,145,25,5,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 19.24.00,680,135,10,10,5,5,0,0,0,0,0,0,0,0,0
04/04/2019 19.25.00,790,150,25,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 19.26.00,790,135,40,5,5,5,5,3,0,0,0,0,0,0,0
04/04/2019 19.27.00,890,140,30,15,5,5,0,0,0,0,0,0,0,0,0
04/04/2019 19.28.00,670,110,40,10,5,0,0,0,0,0,0,0,0,0,0
04/04/2019 19.29.00,700,115,30,10,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 19.30.00,770,125,25,5,5,0,0,0,0,0,0,0,0,0,0
04/04/2019 19.31.00,615,140,30,5,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 19.32.00,730,155,40,10,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 19.33.00,735,130,10,5,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 19.34.00,715,140,15,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 19.35.00,670,110,20,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 19.36.00,665,75,10,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 19.37.00,740,155,30,5,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 19.38.00,720,130,20,5,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 19.39.00,760,165,50,15,10,10,10,3,0,0,0,0,0,0,0
04/04/2019 19.40.00,735,125,25,10,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 19.41.00,790,115,30,5,5,5,0,0,0,0,0,0,0,0,0
04/04/2019 19.42.00,830,115,10,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 19.43.00,660,125,45,15,10,10,5,3,0,0,0,0,0,0,0
04/04/2019 19.44.00,740,145,25,10,10,5,5,3,0,0,0,0,0,0,0
04/04/2019 19.45.00,610,115,15,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 19.46.00,685,100,25,5,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 19.47.00,640,110,35,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 19.48.00,715,100,20,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 19.49.00,680,130,45,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 19.50.00,660,105,25,5,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 19.51.00,720,90,15,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 19.52.00,695,140,30,10,5,0,0,0,0,0,0,0,0,0,0
04/04/2019 19.53.00,645,75,25,5,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 19.54.00,525,90,10,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 19.55.00,690,105,30,5,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 19.56.00,615,70,15,10,10,5,0,0,0,0,0,0,0,0,0
04/04/2019 19.57.00,595,105,20,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 19.58.00,690,130,25,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 19.59.00,580,110,15,5,5,0,0,0,0,0,0,0,0,0,0
04/04/2019 20.00.00,615,90,20,10,5,5,5,0,0,0,0,0,0,0,0
04/04/2019 20.01.00,550,75,20,5,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 20.02.00,605,140,30,5,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 20.03.00,635,75,15,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 20.04.00,515,70,20,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 20.05.00,585,105,40,5,5,0,0,0,0,0,0,0,0,0,0
04/04/2019 20.06.00,550,70,15,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 20.07.00,630,110,20,5,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 20.08.00,510,75,10,5,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 20.09.00,605,80,10,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 20.10.00,635,100,30,5,5,5,0,0,0,0,0,0,0,0,0
04/04/2019 20.11.00,530,110,20,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 20.12.00,470,85,20,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 20.13.00,635,120,25,5,5,5,0,0,0,0,0,0,0,0,0
04/04/2019 20.14.00,520,60,5,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 20.15.00,660,105,20,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 20.16.00,540,95,0,0,0,0,0,0,0,0,0,0,0,0,0
04/04/2019 20.17.00,555,115,35,0,0,0,0,0,0,0,0,0,0,0,0
