date,Bin00,Bin00_counts_ml,Bin01,Bin02,Bin03,Bin04,Bin05,Bin06,Bin07,Bin08,Bin09,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,Bin16,Bin17,Bin18,Bin19,Bin20,Bin21,Bin22,Bin23,MeanToFBin1(us),MeanToFBin3(us),MeanToFBin5(us),MeanToFBin7(us),Count/s,SamplingPeriod(s),SFR(ml/s),Temperature(C),RelativeHumidity(%),#RejectGlitch,#RejectLongTOF,#RejectRatio,#RejectOutOfRange,FanRevCount,LaserStatus,PM1(ug/m3),PM2.5(ug/m3),PM10(ug/m3),RollMean_PM1,RollMean_PM2.5,RollMean_PM10
4/23/2019 17:24,4.208,0.83992016,0.601,0.2,0.2,0.601,0,0,0.401,0.2,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,8,9.33,0,12.33,6.613,4.99,5.01,28.7,32.4,1,0,653,2,0,609,0.09,0.71,10.91,0.05,0.3,4.72
4/23/2019 17:24,3.808,0.754059406,0.601,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.67,8,0,0,4.81,4.99,5.05,28.8,31.8,1,0,679,8,0,609,0.06,0.13,0.13,0.05,0.3,4.51
4/23/2019 17:24,6.613,1.30950495,0.2,0,0,0.2,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,7.214,4.99,5.05,28.9,31.5,4,0,654,5,0,609,0.06,0.17,3.33,0.05,0.29,4.46
4/23/2019 17:24,3.407,0.674653465,1.002,0.2,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,0,11.33,0,5.01,4.99,5.05,29,31.4,2,0,628,3,0,608,0.06,0.22,0.28,0.05,0.29,4.29
4/23/2019 17:25,6.012,1.17421875,0.802,0.401,0.2,0.2,0.401,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.33,9,9.33,0,8.216,4.99,5.12,29.1,31.2,6,0,636,3,0,607,0.11,0.54,0.84,0.05,0.3,4.15
4/23/2019 17:25,4.008,0.7828125,0.401,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,0,0,0,4.81,4.99,5.12,29.1,31.1,3,0,609,4,0,608,0.05,0.1,0.11,0.05,0.29,3.99
4/23/2019 17:25,3.808,0.745205479,0.802,0,0,0.401,0.601,0.2,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,8.33,0,10.33,0,6.012,4.99,5.11,29.1,31.1,3,0,522,4,0,609,0.08,0.64,3.66,0.05,0.3,3.98
4/23/2019 17:25,2.605,0.505825243,0.401,0.802,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,7.33,0,0,0,4.008,4.99,5.15,29.2,31.2,3,0,654,2,0,609,0.05,0.07,7.14,0.05,0.29,4.09
4/23/2019 17:25,4.208,0.812355212,0.2,0.802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,5.21,4.99,5.18,29.3,30.9,1,0,584,10,0,609,0.06,0.08,0.08,0.06,0.29,3.95
4/23/2019 17:25,3.808,0.742300195,0.401,0,0,0.2,0,0.2,0.2,0,0,0,0,0,0,0.401,0,0,0,0,0,0,0,0,0,9.33,0,0,12.67,5.21,4.99,5.13,29.3,30.7,4,0,617,3,0,609,0.04,0.41,16.57,0.05,0.29,4.38
4/23/2019 17:26,2.806,0.56007984,0.401,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.33,0,0,0,3.607,4.99,5.01,29.3,30.8,1,0,598,1,0,609,0.04,0.1,0.11,0.06,0.29,4.38
4/23/2019 17:26,3.206,0.638645418,0.401,0.401,0.2,0.401,0,0.2,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,11,0,0,5.01,4.99,5.02,29.4,30.7,6,0,614,3,0,609,0.08,0.39,5.73,0.06,0.3,4.48
