OADateTime,Bin00,Bin01,Bin02,Bin03,Bin04,Bin05,Bin06,Bin07,Bin08,Bin09,Bin10,Bin11,Bin12,Bin13,Bin14,Bin15,Bin16,Bin17,Bin18,Bin19,Bin20,Bin21,Bin22,Bin23,MeanToFBin1(us),MeanToFBin3(us),MeanToFBin5(us),MeanToFBin7(us),Count/s,SamplingPeriod(s),SFR(ml/s),Temperature(C),RelativeHumidity(%),#RejectGlitch,#RejectLongTOF,#RejectRatio,#RejectOutOfRange,FanRevCount,LaserStatus,PM1(ug/m3),PM2.5(ug/m3),PM10(ug/m3),RollMean_PM1,RollMean_PM2.5,RollMean_PM10
43507.73232,312.851,20.683,3.414,0.402,0.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67,11,0,0,337.55,4.98,5.61,29.6,27.8,108,0,833,17,0,613,2.35,2.53,2.54,2.22,2.44,4.49
43507.73244,302.605,21.042,3.607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67,0,0,0,327.255,4.99,5.55,29.6,27.8,117,0,818,18,0,612,2.29,2.4,2.4,2.22,2.44,4.49
43507.73255,288.377,23.246,3.607,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67,6.67,0,0,315.431,4.99,5.53,29.6,27.7,96,0,767,18,0,612,2.26,2.39,2.39,2.23,2.44,4.47
43507.73267,298.795,23.293,3.414,0.402,0.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67,9.33,0,0,326.104,4.98,5.51,29.6,27.8,103,0,775,25,0,612,2.34,2.53,2.54,2.23,2.44,4.47
43507.73278,288.577,21.042,4.609,0,0.401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67,0,0,0,314.629,4.99,5.51,29.6,27.7,90,0,838,19,0,613,2.28,2.5,2.51,2.24,2.45,4.48
43507.7329,294.177,20.884,2.41,0.402,0,0,0,0,0.201,0.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,9.33,0,0,318.273,4.98,5.72,29.6,27.7,93,0,753,26,0,613,2.15,2.43,6.64,2.23,2.44,4.18
43507.73302,293.387,22.044,4.409,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67,9.33,11.33,0,320.24,4.99,5.61,29.6,27.8,107,0,769,21,0,612,2.27,2.51,2.55,2.24,2.44,4.17
43507.73313,303.407,24.449,1.603,0.2,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67,9,0,0,329.86,4.99,5.55,29.6,27.8,89,0,825,16,0,612,2.29,2.44,5.31,2.24,2.44,4.26
43507.73325,275.551,19.439,2.004,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67,10,0,0,297.194,4.99,5.53,29.7,27.7,100,0,752,22,0,612,2.07,2.16,2.16,2.24,2.44,4.26
43507.73336,283.968,22.244,3.808,0.401,0.601,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,10,0,0,311.222,4.99,5.73,29.7,27.7,125,0,727,14,0,612,2.18,2.56,4,2.24,2.45,3.72
43507.73348,267.269,19.679,2.61,0,0.201,0.201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33,0,14.67,0,289.96,4.98,5.84,29.7,27.6,104,0,706,25,0,613,1.94,2.15,2.2,2.23,2.44,3.56
